,country,area,population,pop_per_km_sq,male_height,female_height,male_weight,female_weight,male_bmi,female_bmi,iq,education_expenditure_per_inhabitant,daily_max_temp,male_life_expectancy,female_life_expectancy,birth_rate,death_rate,stability,rights,health,safety,climate,costs,popularity
0,Singapore,719.0,5.45 M,7584.9,173,161,72.8,60.2,24.3,23.2,108,908,31.5,81.5,86.1,8.5,10.8,83,89,79,100,45,55,42
1,Bahrain,778.0,1.75 M,2247.2,172,158,74.0,62.2,24.9,24.9,83,401,32.6,76.6,78.6,13.3,2.4,59,45,61,92,63,72,29
2,Malta,320.0,0.52 M,1615.2,174,162,84.2,70.5,27.9,26.7,97,619,23.1,80.8,84.6,8.6,7.9,86,72,91,92,75,41,44
3,Bangladesh,147630.0,166.30 M,1126.5,165,152,57.7,50.5,21.3,21.8,77,9,29.8,71.1,74.9,17.5,5.5,43,26,44,74,50,61,33
4,South Korea,100339.0,51.74 M,515.7,175,163,74.7,61.0,24.4,23.1,106,537,18.2,80.5,86.5,5.3,5.9,81,75,92,95,56,42,41
5,Israel,22070.0,9.36 M,424.3,176,162,85.4,71.1,27.7,27.1,94,"1,226",25.4,80.7,84.8,19.2,5.3,57,72,84,81,81,36,30
6,India,3287259.0,"1,393.41 M",423.9,166,155,59.6,52.5,21.7,21.9,81,22,31.7,68.7,71.2,17.4,7.3,48,46,35,79,62,45,49
7,Netherlands,41543.0,17.53 M,422.1,184,170,87.9,73.2,26.1,25.3,102,"1,701",14.4,79.8,83.1,9.7,9.7,84,98,83,96,21,40,36
8,Belgium,30530.0,11.59 M,379.6,179,164,85.9,68.8,26.8,25.7,100,"1,676",14.8,78.6,83.1,9.9,11.0,75,87,88,92,20,32,40
9,Philippines,300000.0,111.05 M,370.2,165,154,61.8,55.5,22.8,23.5,86,38,31.9,67.4,75.6,19.9,6.0,52,39,45,67,49,46,35
10,Sri Lanka,65610.0,22.16 M,337.7,167,155,63.1,57.3,22.5,23.7,79,30,29.7,73.8,80.4,15.3,6.9,52,43,62,92,57,56,33
11,Japan,377970.0,125.68 M,332.5,172,158,69.5,54.8,23.6,21.9,105,"1,258",19.2,81.6,87.7,6.8,8.8,87,86,92,97,54,27,41
12,Vietnam,331230.0,98.17 M,296.4,168,158,61.2,54.0,21.7,21.7,94,26,28.8,71.4,79.6,16.1,6.4,67,35,54,76,52,51,34
13,Pakistan,796100.0,225.20 M,282.9,167,154,64.7,58.9,23.3,24.7,82,16,30.9,66.5,68.5,27.4,6.8,24,26,31,92,72,63,40
14,United Kingdom,243610.0,67.33 M,276.4,178,164,86.7,72.7,27.4,27.1,100,"1,455",12.9,79.0,82.9,10.2,10.4,76,91,78,95,6,34,44
15,Qatar,11610.0,2.93 M,252.4,173,160,85.7,77.6,28.8,30.2,78,"1,574",33.7,79.3,82.1,9.2,1.3,77,60,62,94,61,70,38
16,Luxembourg,2590.0,0.64 M,246.7,178,165,86.2,69.7,27.2,25.7,99,"2,310",14.6,79.4,84.2,10.2,7.3,93,99,85,100,25,46,42
17,Germany,357580.0,83.13 M,232.5,180,166,88.7,71.7,27.4,26.0,100,"1,385",13.7,78.6,83.4,9.3,11.9,82,94,96,95,21,44,42
18,Nigeria,923770.0,211.40 M,228.8,170,158,65.1,59.7,22.6,24.0,70,,33.7,54.1,56.0,37.0,11.4,18,24,12,23,54,57,39
19,Switzerland,41290.0,8.70 M,210.6,179,164,85.5,63.9,26.8,23.8,102,"2,539",15.1,81.1,85.2,9.9,8.8,91,99,93,99,34,44,40
20,Italy,301340.0,59.07 M,196.0,174,161,80.9,64.8,26.7,24.9,97,"1,175",17.8,80.1,84.7,6.8,12.6,65,65,87,89,57,30,59
21,China,9562910.0,"1,412.36 M",147.7,175,163,73.5,62.2,24.1,23.5,104,27,19.0,75.0,79.4,8.5,7.1,69,37,67,90,54,38,73
